"name","buoyancy","height","area","CD","code","source"
"seacat 16-03 (bar,plastic case)",                   -7.49, 0.84,   0.122, 0.65,NA,"BIO"
"seacat 16-04 (bar,titanium no press.)",            -10.89, 0.8763, 0.062, 0.65,NA,"BIO"
"seacat 16-04 (bar,titanium with press.)",          -13.39, 1.0668, 0.077, 0.65,NA,"BIO"
"seabird CTD (ios oxygen with bar)",                -18.16, 1.27,   0.094, 0.65,NA,"BIO"
"DVS current meter",                                 -4.54, 0.7,    0.243, 0.65,NA,"BIO"
"wotan (bar)",                                      -20.42, 1.68,   0.176, 0.65,NA,"BIO"
"RDI with bar",                                     -45.39, 2.18,   0.270, 0.65,NA,"BIO"
"RCM-8 with fin",                                   -21.33, 0.74,   0.060, 0.65,NA,"BIO"
"RCM-11 in frame",                                  -20.31, 0.8,    0.078, 0.65,NA,"BIO"
"seaguard (2000 & 6000 m)",                         -19.59, 0.86,   0.083, 0.65,NA,"BIO"
"vemco on a ss bar",                                 -2.22, 1.2,    0.052, 0.65,NA,"BIO"
"SBE37 microcat on a ss bar",                        -4.65, 1.2,    0.060, 0.65,NA,"BIO"
"sediment trap (#1349)",                            -61.27, 1.829,  1.061, 0.65,NA,"BIO"
"SBE37 microcat clamp-on style",                     -1.53, 0.559,  0.117, 0.65,NA,"BIO"
"WH ADCP sentinel (orange) 500m with inline frame",  -14.69, 0.76,   0.091, 0.65,NA,"BIO"
"WH ADCP sentinel (yellow) 6000m with inline frame", -22.04, 0.79,   0.111, 0.65,NA,"BIO"

