number,description,length1,LBS,NEWTONS,length2,area_per_metre,weight_per_m,area,DRAG_N,DRAG_T,,,,,,,,,,,,,,
3,"3/16"" GALVANIZED WIRE COATED TO 1/4""",**,**,0.76nt/m,,0.00635,-0.76,0.000032,2.6,0.00756,,,,,,,,,,,,,,
5,"1/4"" GALVANIZED WIRE COATED TO 5/16""",**,**,**,,0.0079375,**,0.000198,2.6,0.00756,,,,,,,,,,,,,,
,SWIVEL,,2.1,9.3408,,,,,,,,,,,,,,,,,,,,
,"7/16"" SHACKLE",,0.33,1.46784,,,,,,,,,,,,,,,,,,,,
,"1/4"" NICOPRESS SLEEVE",,0.075,0.3336,,,,,,,,,,,,,,,,,,,,
,"5/16"" HEAVY SS THIMBLES",,0.09,0.40032,,,,,,,,,,,,,,,,,,,,
23,"5/8"" GALVANIZED CHAIN",1,9.525 lbs,42.3672,,0.05715,-42.3672,0.002565206,1.4,0.00756,,,,,,,,,,,,,,
(37),BALLAST WEIGHT,1,100,445,1,0.0254,-444.8,-0.01,1.4,1.05,,,,,,,,,,,,,,
33,EG&G 723A,1.194,33.5,149,1.2,0.14,-124.79,0.01539,1.4,1.05,,,,,,,,,,,,,,
35,EG&G 723A WITH TENSION BAR,1.32,57,253.54,1.3,0.14,-192.07,0.01539,1.4,1.05,,,,,,,,,,,,,,
34,BENTHOS 965A RELEASE,1.23,81,360,1.2,0.127,-292.7,0.0127,1.4,1.05,,,,,,,,,,,,,,
,BENTHOS 875 RELEASE,0.479,2.5,12.01,,,-25.07,,1.4,1.05,,,,,,,,,,,,,,
,BENTHOS 966A and 866A RELEASE,0.68,29,129,,0.112,-190,0.01,1.4,1.05,,,,,,,,,,,,,,
(34),BENTHOS 865A RELEASE,1,61.25,273,1,0.199,-273,0.0127,1.4,1.05,,,,,,,,,,,,,,
(34),VR2W RELEASE with float collar,0.4,26.688,118.7,0.4,0.237,26.688,0.068,1.4,1.05,,,,,,,,,,,,,,
,"SEACAT 16-03 (BAR, PLASTIC CASE) ",0.84,16.5,73.392,,0.1452,-87.56,0.041,1.4,1.05,,,,,,,,,,,,,,
31,"SEACAT 16-04 (BAR,TITANIUM NO PRESS.)",0.8763,24,106.752,0.9,0.07068,-121.82,0.0081073,1.4,1.05,,,,,,,,,,,,,,
32,"SEACAT 16-04 (BAR,TITANIUM WITH PRESS.)",1.0668,29.5,131.216,1.2,0.07257,-123,0.0081073,1.4,1.05,,,,,,,,,,,,,,
37,SEABIRD CTD (IOS OXYGEN WITH BAR),1.27,40,177.92,,0.07366,-140.15,0.01613,1.4,1.05,,,,,,,,,,,,,,
(30),DVS CURRENT METER,0.7 (2),10,44.48,2,0.347,-44.48,0.008,1.4,1.05,,,,,,,,,,,,,,
(30),WOTAN (BAR),1.68,45,200.16,,0.10476,-119.14,0.0214,1.4,1.05,,,,,,,,,,,,,,
29,RDI WITH BAR,2.18,100,444.8,,0.12405,-203.626,0.1829,1.4,1.05,,,,,,,,,,,,,,
