"name","buoyancyPerMeter","width","CD","code","source","originalName"
"1/4in chain SL",-1.69,0.015,1.3,1,"Dewey","1/4 chain SL"
"3/8in chain SL",-2.33,0.022,1.3,1,"Dewey","3/8 chain SL"
"1/2in chain SL",-4.12,0.03,1.3,1,"Dewey","1/2 chain SL"
"1 chain SL",-13,0.04,1.3,1,"Dewey","1 chain SL"
"1/2in chain LL",-3.1,0.03,1.3,1,"Dewey","1/2 chain LL"
"3/8in buoy chain",-1.677,0.02,1.3,1,"Dewey","3/8"" buoy chain"
"1/2in buoy chain",-3.07,0.025,1.3,1,"Dewey","1/2"" buoy chain"
"5/8in buoy chain",-4.73,0.035,1.3,1,"Dewey","5/8"" buoy chain"
"3/4in buoy chain",-6.87,0.04,1.3,1,"Dewey","3/4"" buoy chain"
"1in buoy chain",-12.25,0.05,1.3,1,"Dewey","1"" buoy chain"
