"name","buoyancy","height","area","CD","code","source","originalName"
"61in ORE",999,1.65,2.13824649984955,0.65,1,"Dewey","61in ORE"
"48in ORE",620,1.234,1.19596976570244,0.65,1,"Dewey","48in ORE"
"41in ORE",433,1.04,0.84948665353068,0.65,1,"Dewey","41in ORE"
"37in ORE",300,0.94,0.693977817177985,0.65,1,"Dewey","37in ORE"
"28in ORE",133,0.71,0.395919214168654,0.65,1,"Dewey","28in ORE"
"30in float",160,0.76,0.453645979178366,0.65,1,"Dewey","30in float"
"Kiel SFS40in",320,1,0.785398163397448,0.65,1,"Dewey","Kiel SFS40in"
"Torp. flt, 3-28",364,0.83,0.541060794764502,0.75,1,"Dewey","Torp. flt, 3-28"
"17in glass",23,0.57,0.255175863287831,0.95,1,"Dewey","17 in glass"
"Billings 12in",10,0.343,0.0924013085255464,0.95,1,"Dewey","Billings-12in"
"BENTHOS 17in",23,0.51,0.204282062299676,0.95,1,"Dewey","BENTHOS 17in"
"16in Viny",19,0.4,0.125663706143592,0.6,1,"Dewey","16in Viny"
"Double 17in",48,0.5,0.331830724035422,0.95,1,"Dewey","Double 17in"
"Double 16in Viny",38,0.5,0.282743338823081,0.6,1,"Dewey","Double 16inViny"
"Trpl 16in Viny",56,1.5,0.441786466911065,0.6,1,"Dewey","Trpl 16 in Viny"
"Trpl 12in glass",30,0.95,0.301907054009979,1,1,"Dewey","Trpl 12in glass"
"CDMS 1.2m sphere",682,1.2,1.13097335529233,0.5,1,"Dewey","CDMS 1.2m sphere"
"CDMS 2m sphere",2470,2,3.14159265358979,0.5,1,"Dewey","CDMS 2m sphere"
"54cm Alum CAP3",61,0.55,0.229022104446696,0.65,1,"Dewey","54cm Alum CAP3"
"54x30inClamShell",405,1.4,0.441786466911065,0.15,1,"Dewey","54x30inClamShell"
"Top of Tow Rope",0.01,0,0,0.65,1,"Dewey","Top of Tow Rope"
"BPS Float",8000,1.5,0,1.6,1,"Dewey","BPS Float"
"ADCP FloatTech",460,1.42,1.58367685667461,0.65,1,"Dewey","ADCP FloatTech"
"FloatTech CF-12",11,0.3,0,1,1,"Dewey","FloatTech CF-12"
"Tripple FT CF-12",33,0.9,0,1,1,"Dewey","Tripple FT CF-12"
"Geodyn 8ft Toroid",1950,0.762,0,0.65,3,"Dewey","Geodyn 8' Toroid"
