"name","buoyancyPerMeter","diameter","CD","code","source"
"1/4 Kevlar",-0.009,0.007,1.3,6,"Dewey"
"5/16 Kevlar",-0.014,0.008,1.3,6,"Dewey"
"3/8 Kevlar",-0.023,0.009,1.3,6,"Dewey"
"7/16 Kevlar",-0.026,0.011,1.3,6,"Dewey"
"1/2 Kevlar",-0.032,0.013,1.3,6,"Dewey"
"9/16 Kevlar",-0.043,0.014,1.3,6,"Dewey"
"5/8 Kevlar",-0.054,0.016,1.3,6,"Dewey"
"3/16 wire rope",-0.12,0.007,1.3,1,"Dewey"
"1/4 wire rope",-0.14,0.007,1.3,1,"Dewey"
"5/16 wire rope",-0.19,0.008,1.3,1,"Dewey"
"3/8 wire rope",-0.33,0.009,1.3,1,"Dewey"
"1/4 wire/jack",-0.13,0.008,1.3,1,"Dewey"
"5/16 wire/jack",-0.186,0.011,1.3,1,"Dewey"
"3/8 wire/jack",-0.318,0.013,1.3,1,"Dewey"
"1/2 wire/jack",-0.547,0.017,1.3,1,"Dewey"
"7/16 VLS",-0.023,0.011,1.3,1,"Dewey"
"1/2 VLS",-0.041,0.013,1.3,1,"Dewey"
"11mm Perlon",-0.005,0.011,1.3,3,"Dewey"
"7/16 Dacron",-0.032,0.011,1.3,3,"Dewey"
"1/2 Dacron",-0.041,0.013,1.3,3,"Dewey"
"9/16 Dacron",-0.058,0.014,1.3,3,"Dewey"
"3/4 Dacron",-0.099,0.019,1.3,3,"Dewey"
"5/8 Nylon",-0.022,0.016,1.3,2,"Dewey"
"3/4 Nylon",-0.03,0.019,1.3,2,"Dewey"
"1 Nylon",-0.05,0.025,1.3,2,"Dewey"
"3/4 Polyprop",0.016,0.019,1.3,4,"Dewey"
"1/2 Neutral Wire",0,0.013,1.5,6,"Dewey"
"1in Neutral Wire",0,0.025,0,6,"Dewey"
"1/4 AmSteel-Blue",0.002,0.007,1.3,3,"Dewey"
"3/8 AmSteel-Blue",0.003,0.009,1.3,3,"Dewey"
"1/2 AmSteel-Blue",0.006,0.012,1.3,3,"Dewey"
"BPS Cable",-0.124,0.007,1.3,1,"Dewey"
"5/8 AmSteel-Blue",0.009,0.016,1.3,3,"Dewey"
"BPS Power/Coms",-0.384,0.028,1.3,6,"Dewey"
"1/4-1/2 WarpSpd",-0.009,0.009,1.3,6,"Dewey"
"1/2 Dyneema",0.02,0.012,1.3,8,"Dewey"
