"name","buoyancy","height","area","CD","code","source","originalName"
"HMB 20",34.5,0.508,0.2027,0.65,NA,"Kelley",NA
"HMB 25",68.5,0.635,0.3167,0.65,NA,"Kelley",NA
"HMB 31",141,0.7874,0.4869,0.65,NA,"Kelley",NA
"HMB 36",225,0.9144,0.6567,0.65,NA,"Kelley",NA
"HMB 40",300,1.016,0.8107,0.65,NA,"Kelley",NA
"HMB 44",413,1.1176,0.981,0.65,NA,"Kelley",NA
"HMB 49",565,1.2446,1.2166,0.65,NA,"Kelley",NA
"HMB 51",633,1.2954,1.3179,0.65,NA,"Kelley",NA
"HMB 56",831,1.4224,1.589,0.65,NA,"Kelley",NA
"HMB 62",1122,1.5748,1.9478,0.65,NA,"Kelley",NA
