"name","buoyancy","height","CD","code","area","source","originalName"
"Aanderaa RCM-4",-17.3,0.55,1.3,1,0.0704,"Dewey","Aanderaa RCM-4"
"Aanderaa RCM-5",-19.5,0.57,1.3,1,0.07296,"Dewey","Aanderaa RCM-5"
"Aanderaa RCM-7",-18.3,0.55,1.3,1,0.0704,"Dewey","Aanderaa RCM-7"
"Aanderaa RCM-8",-22.7,0.57,1.3,1,0.07296,"Dewey","Aanderaa RCM-8"
"OEI Expend. CM",-3.6,0.66,1.3,1,0.08448,"Dewey","OEI Expend. CM"
"FSI-3DACM coast",-10,0.38,1.3,1,0.0494,"Dewey","FSI-3DACM coast"
"EG&G VACM",-35,1.98,1.3,1,0.495,"Dewey","EG&G VACM"
"EG&G VMCM",-30,1.7,1.3,1,0.425,"Dewey","EG&G VMCM"
"NBIS ACM-2",-13,1.2,1.3,1,0.24,"Dewey","NBIS ACM-2"
"InterOcn S4 CM",-1.5,0.8,0.6,1,0,"Dewey","InterOcn S4 CM"
"RD ADCP",-12,1.41,1.3,1,0.3102,"Dewey","RD ADCP"
"CDMS CM",-20,2,1.2,1,0.4,"Dewey","CDMS CM"
"WH ADCP + Frame",-12,0.5,1.2,3,0.1,"Dewey","WH ADCP + Frame"
"Aanderaa RDCP",-22,0.58,1.3,1,0.0928,"Dewey","Aanderaa RDCP"
