"name","buoyancy","height","CD","code","area","source","originalName"
"AanderaaT.chain  ",-12,0.55,1.3,1,0.0704,"Dewey","AanderaaT.chain"
"SBE-16           ",-10,0.45,1.3,1,0.036,"Dewey","SBE-16"
"A. tide gauge    ",-12,0.55,1.3,1,0.0704,"Dewey","A. tide gauge"
"Keil sedmt trap  ",-80,2.5,1.3,1,2.4975,"Dewey","Keil sedmt trap"
"ULS#2/APL        ",15,0,1,1,0.331830724035422,"Dewey","ULS#2/APL"
"DataSonics Xpdr  ",-10,0.7,1.3,1,0.091,"Dewey","DataSonics Xpdr"
"Benthos Xpdr     ",-5,0,1,1,0.0706858347057703,"Dewey","Benthos Xpdr"
"Brancker TR1000  ",-0.448,0.27,1.3,1,0.01377,"Dewey","Brancker TR1000"
"Brancker XL-200  ",-0.43,0.54,1.3,1,0.0324,"Dewey","Brancker XL-200"
"Brancker XL-210  ",0.714,0.84,1.3,1,0.06384,"Dewey","Brancker XL-210"
"Heavy Sphere     ",-10,0.3,0.65,1,0.0706858347057703,"Dewey","Heavy Sphere"
"CDMS 10sqft Tow  ",-90.72,1.087,1,1,0.928002122527359,"Dewey","CDMS 10sqft Tow"
"CDMS 30sqft Tow  ",-415.72,1.88,1.2,1,2.77591126871194,"Dewey","CDMS 30sqft Tow"
"IceProfiler4+Flt ",62,1.3,0.8,1,0.125663706143592,"Dewey","IceProfiler4+Flt"
"Heavy Sphere 2   ",-100,0.4,0.65,1,0.125663706143592,"Dewey","Heavy Sphere 2"
"SBE 19+ cage     ",-20,0.45,1.3,1,0.09,"Dewey","SBE 19+ cage"
"McLane Mk8 SedTr ",-20,1.2,1.3,1,0.36,"Dewey","McLane Mk8 SedTr"
"BPS Package      ",-30,1.6,1.6,1,1.92,"Dewey","BPS Package"
"Oceanetic Pinger ",-5,0.6,1.3,1,0.03,"Dewey","Oceanetic Pinger"
"ONC-uCatADop     ",-10,0.9,1.3,1,0.135,"Dewey","ONC-uCatADop"
"McLane Mk78 SdTr ",-25,1.64,1.3,1,0.6724,"Dewey","McLane Mk78 SdTr"
"SubOcean2d       ",-52,1.68,2.3,1,0.4704,"Dewey","SubOcean2d"
"SubOcean2d2      ",-52,1.68,1.3,1,2.21670777637296,"Dewey","SubOcean2d2"
"TowedCylinder    ",-10,1,1.3,1,0.2,"Dewey","TowedCylinder"
"TowedSphere      ",-10,0.5,0.65,1,0.196349540849362,"Dewey","TowedSphere"
