"name","buoyancy","length","cylinderWidth","sphereDiameter","CD","unknown"
"1/4 Kevlar",-0.009,100,0.7,0,1.3,6
"5/16 Kevlar",-0.014,100,0.8,0,1.3,6
"3/8 Kevlar",-0.023,100,0.9,0,1.3,6
"7/16 Kevlar",-0.026,100,1.1,0,1.3,6
"1/2 Kevlar",-0.032,100,1.3,0,1.3,6
"9/16 Kevlar",-0.043,100,1.4,0,1.3,6
"5/8 Kevlar",-0.054,100,1.6,0,1.3,6
"3/16 wire rope",-0.12,100,0.7,0,1.3,1
"1/4 wire rope",-0.14,100,0.7,0,1.3,1
"5/16 wire rope",-0.19,100,0.8,0,1.3,1
"3/8 wire rope",-0.33,100,0.9,0,1.3,1
"1/4 wire/jack",-0.13,100,0.8,0,1.3,1
"5/16 wire/jack",-0.186,100,1.1,0,1.3,1
"3/8 wire/jack",-0.318,100,1.3,0,1.3,1
"1/2 wire/jack",-0.547,100,1.7,0,1.3,1
"7/16 VLS",-0.023,100,1.1,0,1.3,1
"1/2 VLS",-0.041,100,1.3,0,1.3,1
"11mm Perlon",-0.005,100,1.1,0,1.3,3
"7/16 Dacron",-0.032,100,1.1,0,1.3,3
"1/2 Dacron",-0.041,100,1.3,0,1.3,3
"9/16 Dacron",-0.058,100,1.4,0,1.3,3
"3/4 Dacron",-0.099,100,1.9,0,1.3,3
"5/8 Nylon",-0.022,100,1.6,0,1.3,2
"3/4 Nylon",-0.03,100,1.9,0,1.3,2
"1 Nylon",-0.05,100,2.5,0,1.3,2
"3/4 Polyprop",0.016,100,1.9,0,1.3,4
"1/2 Neutral Wire",0,100,1.3,0,1.5,6
"1in Neutral Wire",0,100,2.5,0,0,6
"1/4 AmSteel-Blue",0.002,100,0.7,0,1.3,3
"3/8 AmSteel-Blue",0.003,100,0.9,0,1.3,3
"1/2 AmSteel-Blue",0.006,100,1.2,0,1.3,3
"BPS Cable",-0.124,100,0.7,0,1.3,1
"5/8 AmSteel-Blue",0.009,100,1.6,0,1.3,3
"BPS Power/Coms",-0.384,100,2.8,0,1.3,6
"1/4-1/2 WarpSpd",-0.009,100,0.9,0,1.3,6
"1/2 Dyneema",0.02,100,1.2,0,1.3,8
